Date : 2021-04-06 19:25:48
Directory : c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\
Total : 345 files,  35713 codes, 779 comments, 3514 blanks, all 40006 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        345 |     35,713 |        779 |      3,514 |     40,006 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\admin_teacher_screen.dart                              | Dart     |        354 |          2 |         24 |        380 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\admin_teacher_tile_widget.dart                         | Dart     |        176 |          7 |          9 |        192 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\teacher_profile\a_t_center_attendace_tile.dart         | Dart     |        122 |          0 |         11 |        133 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\teacher_profile\a_t_center_attendance_screen.dart      | Dart     |         65 |          0 |          7 |         72 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\teacher_profile\a_t_new_center_attendance_screen.dart  | Dart     |        204 |          1 |         14 |        219 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\teacher_profile\a_teacher_profile_bloc.dart            | Dart     |         46 |          0 |          8 |         54 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\teacher_profile\a_teacher_profile_provider.dart        | Dart     |         38 |          0 |          6 |         44 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\admin\admin_teachers\teacher_profile\a_teacher_profile_screen.dart          | Dart     |        120 |          0 |         14 |        134 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\chat\chat_bloc.dart                             | Dart     |        111 |          2 |         15 |        128 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\chat\chat_input_bar.dart                        | Dart     |         80 |          7 |         12 |         99 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\chat\chat_list.dart                             | Dart     |        102 |          4 |         10 |        116 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\chat\chat_provider.dart                         | Dart     |         51 |          1 |          7 |         59 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\chat\chat_screen.dart                           | Dart     |         59 |          0 |          8 |         67 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\chat\message_tile.dart                          | Dart     |         74 |          0 |          7 |         81 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\conversation_tile.dart                          | Dart     |         64 |          1 |          4 |         69 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\conversations_bloc.dart                         | Dart     |         28 |          0 |          6 |         34 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\conversations_provider.dart                     | Dart     |         31 |          0 |          4 |         35 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\conversation\conversations_screen.dart                       | Dart     |        102 |          1 |         11 |        114 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\reports\s_attendance\s_attendance_bloc.dart                  | Dart     |        179 |          0 |         14 |        193 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\reports\s_attendance\s_attendance_card.dart                  | Dart     |        123 |          0 |         12 |        135 |
| c:\Users\Yacine\Art\freelance\halaqate\source code\al_halaqat\lib\app\home\approved\common_screens\reports\s_attendance\s_attendance_provider.dart              | Dart     |         21 |          0 |          4 |         25 |
